net,length_um
clknet_leaf_11_clk,69.68
net180,69.595
_0775_,68.92
_0987_,68.87
net248,68.6
net47,68.36
net229,68.36
net227,68.2
rx_fifo.tail\[3\],68.02
_0863_,67.56
net94,67.275
net121,67.26
clknet_leaf_8_clk,67.26
_0525_,67.12
clknet_leaf_21_clk,67
rx.shift_reg\[4\],66.97
net230,66.88
_1018_,66.6
net225,66.32
_0944_,66.12
_1079_,66.04
net125,65.88
net87,65.865
_0010_,65.82
_0992_,65.65
_0701_,65.58
_1024_,65.24
_0005_,65.215
net224,64.98
divisor\[11\],64.92
_1044_,64.12
tx_fifo.tail\[2\],63.99
clknet_leaf_40_clk,63.64
_1013_,63.3
net132,63.15
_1061_,62.6
net91,62.5
net211,62.24
_0861_,61.77
net196,61.545
net184,61.22
_0875_,61.18
_0881_,60.9
net188,60.5
_1136_,60.255
_1021_,60.2
_1164_,60.14
net51,59.635
net198,59.295
net160,58.78
_1001_,58.775
rx_fifo.head\[1\],58.71
net232,58.245
net387,58.02
_0012_,57.32
net84,56.89
divisor\[13\],56.73
_0001_,56.7
net130,56.38
net234,56.29
_0746_,56.02
net185,55.7
_0160_,55.68
tx_fifo.tail\[3\],55.34
tx_fifo.tail\[1\],55.32
rx_fifo.tail\[0\],55.26
divisor\[7\],55.19
_1037_,54.84
_0543_,54.7
rx.shift_reg\[1\],54.68
net137,54.48
net129,54.4
_0913_,54.37
_0846_,54.32
_0629_,54.14
_0540_,53.88
rx_fifo.head\[0\],53.49
_1211_,53.25
net140,53.24
net239,53.195
net141,53.06
_0578_,53.05
_0730_,52.735
net143,52.72
_0567_,52.615
_0754_,52.54
_1116_,52.5
_0538_,52.48
net127,52.38
net382,52.38
_1036_,52.2
net131,52.04
divisor\[12\],51.98
_0947_,51.915
net380,51.47
_1032_,51.18
rx_fifo.fifo\[10\]\[3\],50.97
clknet_leaf_9_clk,50.92
net136,50.9
net135,50.82
divisor\[14\],50.72
net59,50.6
_0849_,50.06
net139,50.06
divisor\[8\],49.46
_0823_,49.44
net190,49.4
_0513_,49.14
rx_fifo.head\[3\],49.04
net53,48.86
_0793_,48.66
_0773_,48.6
net133,48.4
net142,48.4
tx_fifo.count\[1\],48.24
_0686_,48.14
net214,48.08
net57,47.925
tx_fifo.count\[0\],47.9
net138,47.84
tx_fifo.fifo\[11\]\[7\],47.72
net56,47.51
_0013_,47.395
_1025_,46.5
_0517_,46.39
_0516_,46.32
tx_fifo.fifo\[2\]\[2\],46.28
net386,46.24
_0744_,46.2
tx.state\[1\],46.01
divisor\[0\],45.955
_0815_,45.94
_0771_,45.92
_1165_,45.82
rx.state\[0\],45.63
net42,45.57
net128,45.4
_0774_,44.8
_0912_,44.7
_0009_,44.6
_0776_,44.48
_0791_,44.38
_1213_,44.24
_0554_,44.2
divisor\[1\],43.96
net178,43.84
tx_fifo.head\[3\],43.79
divisor\[9\],43.78
clknet_leaf_33_clk,43.765
_1207_,43.64
net324,43.62
rx_fifo.fifo\[8\]\[9\],43.59
_0784_,43.42
_0785_,43.22
rx.dr,43.2
tx.state\[2\],43.09
_0993_,42.84
clknet_leaf_10_clk,42.8
rx_fifo.fifo\[8\]\[0\],42.755
_0761_,42.6
divisor\[15\],42.47
_0829_,42.46
rx_fifo.fifo\[10\]\[0\],42.185
_1054_,42.18
rx_fifo.fifo\[10\]\[10\],42.105
net318,42.08
_0002_,42.075
_0553_,41.96
_0885_,41.32
_0799_,41.24
net242,41
tx_fifo.count\[2\],40.92
rx_fifo.fifo\[10\]\[5\],40.85
_1034_,40.68
clknet_leaf_32_clk,40.62
_0828_,40.5
_0019_,40.435
net144,40.4
_0537_,40.365
_0728_,40.22
net381,40.16
rx.baud_cnt\[10\],40.08
_0742_,40
net194,39.82
_0533_,39.78
rx.shift_reg\[6\],39.76
_1091_,39.59
net388,39.535
rx.shift_reg\[5\],39.38
_1084_,39.34
net187,39.32
_0560_,39.14
net179,39.04
_0953_,39.02
_0834_,38.98
_0844_,38.54
regs.tx_data\[7\],38.46
_0007_,38.335
rx.baud_cnt\[8\],38.3
rx.sample_cnt\[0\],37.975
rx_fifo.fifo\[10\]\[7\],37.8
_0997_,37.46
net385,37.075
_0892_,36.91
rx.shift_reg\[3\],36.86
tx_fifo.count\[4\],36.78
_1150_,36.54
net202,36.16
_0016_,35.565
_0569_,35.56
_0995_,35.44
_0792_,35.42
net390,35.36
tx_fifo.head\[1\],35.06
rx_fifo.fifo\[8\]\[8\],34.91
tx_fifo.fifo\[12\]\[0\],34.9
_1047_,34.78
regs.dlh\[7\],34.68
_1215_,34.64
rx.baud_cnt\[0\],34.54
tx.baud_cnt\[9\],34.38
_1049_,34.26
rx.shift_reg\[2\],34.22
_0015_,34.045
tx_fifo.head\[0\],34.02
tx_fifo.fifo\[13\]\[0\],33.99
_1092_,33.98
rx_fifo.count\[2\],33.8
_0762_,33.64
rx.sample_cnt\[1\],33.52
_0006_,33.485
_1031_,33.32
rx_fifo.fifo\[8\]\[10\],33.3
_0635_,33.295
tx.baud_cnt\[11\],33.21
tx.baud_cnt\[0\],33.13
tx.state\[0\],33.1
_1066_,32.94
rx_fifo.fifo\[8\]\[6\],32.935
tx.baud_cnt\[8\],32.87
net24,32.24
_0904_,32.22
rx.state\[1\],32.165
_0524_,32.16
regs.dlh\[6\],32.04
tx_fifo.count\[3\],32.04
_0990_,31.94
_0777_,31.68
rx.baud_cnt\[9\],31.58
net207,31.38
_0832_,31.08
_1184_,30.86
_0918_,30.82
rx_fifo.count\[0\],30.8
_0942_,30.64
_0808_,30.62
tx.bit_cnt\[1\],30.62
_0890_,30.58
_0562_,30.56
_0721_,30.52
_0988_,30.5
_0976_,30.43
_0665_,30.38
divisor\[3\],30.265
_0559_,30.2
tx.baud_cnt\[6\],30.17
_0551_,30.16
rx.shift_reg\[7\],30.16
rx.baud_cnt\[5\],30.04
_0004_,29.89
_1062_,29.4
_0718_,29.3
net331,29.22
tx_fifo.head\[2\],29.14
_0811_,29.04
_0883_,29
net262,29
rx.baud_cnt\[3\],28.78
tx_fifo.fifo\[14\]\[6\],28.75
rx.baud_cnt\[11\],28.595
_1029_,28.48
_1176_,28.44
regs.rx_data\[5\],28.235
regs.rx_data\[3\],28.2
tx.baud_cnt\[14\],28.18
rdata[4],28.13
_0631_,28.07
_0859_,28.04
_0011_,28.03
_0582_,28
tx.baud_cnt\[12\],27.92
divisor\[10\],27.86
_0880_,27.8
regs.dlh\[5\],27.78
_0565_,27.72
_0539_,27.7
_1027_,27.7
tx.baud_cnt\[2\],27.68
_1090_,27.64
_0571_,27.56
rx_fifo.fifo\[3\]\[2\],27.535
_0659_,27.52
_0888_,27.36
_0528_,27.3
_0727_,27.2
rx_fifo.fifo\[2\]\[2\],27.14
tx.shift_reg\[1\],27.12
_0939_,27.04
_0581_,26.98
_0920_,26.98
rx.baud_cnt\[2\],26.88
_1143_,26.77
_0848_,26.68
